"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Code\PythonMassScanner\WebAppp\frontend\components\coolButton.js", "JavaScript", 0, 35, 0, 5, 40
"d:\Code\PythonMassScanner\WebAppp\frontend\components\coolButton.module.scss", "SCSS", 13, 0, 0, 3, 16
"d:\Code\PythonMassScanner\WebAppp\frontend\components\displayPreviews.js", "JavaScript", 0, 54, 10, 6, 70
"d:\Code\PythonMassScanner\WebAppp\frontend\components\displayPreviews.module.scss", "SCSS", 6, 0, 3, 1, 10
"d:\Code\PythonMassScanner\WebAppp\frontend\components\imageManipulator.js", "JavaScript", 0, 260, 12, 47, 319
"d:\Code\PythonMassScanner\WebAppp\frontend\components\imageManipulator.module.scss", "SCSS", 18, 0, 0, 3, 21
"d:\Code\PythonMassScanner\WebAppp\frontend\components\layout.js", "JavaScript", 0, 67, 0, 2, 69
"d:\Code\PythonMassScanner\WebAppp\frontend\components\layout.module.scss", "SCSS", 13, 0, 0, 2, 15
"d:\Code\PythonMassScanner\WebAppp\frontend\components\openCVprocessing.js", "JavaScript", 0, 83, 8, 30, 121
"d:\Code\PythonMassScanner\WebAppp\frontend\components\svgImageAnnotations.js", "JavaScript", 0, 65, 0, 4, 69
"d:\Code\PythonMassScanner\WebAppp\frontend\components\svgImageAnnotations.module.scss", "SCSS", 28, 0, 0, 5, 33
"Total", "-", 78, 564, 33, 108, 783
